strategy,algorithm,hit@1,hit@3,hit@5,precision@1,precision@3,precision@5,mrr
classify_only,svm,0.7549668874172185,0.7549668874172185,0.7549668874172185,0.7549668874172185,0.7549668874172185,0.7549668874172185,0.7549668874172185
classify_only,ann,0.7483443708609272,0.7483443708609272,0.7483443708609272,0.7483443708609272,0.7483443708609272,0.7483443708609272,0.7483443708609272
classify_only,logistic_regression,0.7086092715231788,0.7086092715231788,0.7086092715231788,0.7086092715231788,0.7086092715231788,0.7086092715231788,0.7086092715231788
classify_only,knn,0.6688741721854304,0.6688741721854304,0.6688741721854304,0.6688741721854304,0.6688741721854304,0.6688741721854304,0.6688741721854304
classify_only,random_forest,0.5894039735099338,0.5894039735099338,0.5894039735099338,0.5894039735099338,0.5894039735099338,0.5894039735099338,0.5894039735099338
classify_only,decision_tree,0.5165562913907285,0.5165562913907285,0.5165562913907285,0.5165562913907285,0.5165562913907285,0.5165562913907285,0.5165562913907285
cosine_only,,0.6291390728476821,0.7682119205298014,0.8344370860927153,0.6291390728476821,0.5695364238410597,0.5456953642384104,0.7035320088300219
hybrid,svm,0.6754966887417219,0.7814569536423841,0.8145695364238411,0.6754966887417219,0.6512141280353202,0.6397350993377479,0.7309050772626932
hybrid,logistic_regression,0.6754966887417219,0.7615894039735099,0.8013245033112583,0.6754966887417219,0.6401766004415014,0.6291390728476817,0.7248344370860926
hybrid,ann,0.6887417218543046,0.7682119205298014,0.7880794701986755,0.6887417218543046,0.6490066225165563,0.6317880794701982,0.7301324503311258
hybrid,knn,0.6357615894039735,0.7615894039735099,0.7880794701986755,0.6357615894039735,0.6114790286975719,0.5973509933774829,0.6983443708609269
hybrid,random_forest,0.6423841059602649,0.7019867549668874,0.7284768211920529,0.6423841059602649,0.6181015452538633,0.5999999999999995,0.6754966887417219
hybrid,decision_tree,0.5099337748344371,0.5562913907284768,0.5695364238410596,0.5099337748344371,0.5209713024282562,0.5139072847682118,0.5349889624724061
