strategy,algorithm,top_k_classes,precision@5,recall@5,f1@5,hit@5,mrr
hybrid_top1,decision_tree,1,0.4728476821192053,0.0755213256910418,0.1233191656283441,0.4768211920529801,0.4768211920529801
hybrid_top2,decision_tree,2,0.5152317880794701,0.0743219222216071,0.12237726765329,0.5562913907284768,0.5485651214128034
hybrid_top3,decision_tree,3,0.5205298013245033,0.0758226401674935,0.1249674327050319,0.5894039735099338,0.5629139072847681
hybrid_top1,knn,1,0.6754966887417219,0.105781304867292,0.1708171134698342,0.6754966887417219,0.6754966887417219
hybrid_top2,knn,2,0.6317880794701982,0.0998117494553325,0.1611367482063991,0.7947019867549668,0.7161147902869758
hybrid_top3,knn,3,0.6331125827814565,0.1014432667918811,0.163089944963871,0.8410596026490066,0.7345474613686533
hybrid_top1,logistic_regression,1,0.7350993377483444,0.1178523562805686,0.189267590500475,0.7350993377483444,0.7350993377483444
hybrid_top2,logistic_regression,2,0.672847682119205,0.1079649862915491,0.1734879223666276,0.8145695364238411,0.7385209713024282
hybrid_top3,logistic_regression,3,0.6476821192052977,0.1029116146556664,0.1659862393785221,0.8410596026490066,0.7390728476821191
hybrid_top1,random_forest,1,0.6688741721854304,0.1028490247341954,0.1660364752418882,0.6688741721854304,0.6688741721854304
hybrid_top2,random_forest,2,0.6317880794701985,0.0994663613076924,0.1605100182049833,0.7483443708609272,0.6847682119205297
hybrid_top3,random_forest,3,0.6357615894039734,0.1017150356804639,0.1631396347120856,0.8145695364238411,0.7194260485651214
hybrid_top1,svm,1,0.7483443708609272,0.1211086881525374,0.1941995385252985,0.7483443708609272,0.7483443708609272
hybrid_top2,svm,2,0.6715231788079468,0.1086357329751437,0.1744114599098024,0.8145695364238411,0.7434878587196468
hybrid_top3,svm,3,0.643708609271523,0.1035038640971179,0.1661851850244877,0.8344370860927153,0.7379690949227372
