query,rank,book_id,title,course_id,cosine_similarity
Python Programming,1,172,คู่มือ Coding ภาษา Python ฉบับสมบูรณ์,16,0.27432668602634563
Python Programming,2,170,เรียนรู้หลักการData Science ด้วย Python,16,0.2356159567389159
Python Programming,3,174,เรียนรู้หลักการData Science ด้วย Python,16,0.2355026731820231
Python Programming,4,151,พัฒนา Web Application ด้วย Python Django,14,0.1712654705175595
Python Programming,5,211,เรียนรู้ Data Science และ AI : Machine Learning ด้วย Python,20,0.1601080608968343
Non Linear Equation,1,701,An introduction to optimization techniques,25,0.1164541947756839
Non Linear Equation,2,83,โครงสร้างข้อมูล (Data Structures) เพื่อการออกแบบโปรแกรมคอมพิวเตอร์ (ฉบับปรับปรุง),9,0.11113452327737167
Non Linear Equation,3,449,วิธีเชิงตัวเลขสำหรับการจำลองทางวิทยาศาสตร์ขั้นสูง Numerical Methods for A ecet slentific Simulations,23,0.07722127166399755
Non Linear Equation,4,367,โครงสร้างข้อมูล (Data Structures) เพื่อการออกแบบโปรแกรมคอมพิวเตอร์,9,0.07457410969624623
Non Linear Equation,5,441,การโปรแกรมเชิงเส้นเบื้องต้น Elementary Linear Programming,6,0.0634096371258041
JavaScript Frameworks,1,561,มือใหม่หัดใช้ JavaScript,14,0.5810897968969284
JavaScript Frameworks,2,147,พัฒนา Web Application ด้วย JavaScript และ Node.js,14,0.4640968056783049
JavaScript Frameworks,3,139,พัฒนา เว็บไซต์สมัยใหม่ด้วย HTML5 JavaScript + CSS3 ฉบับสมบูรณ์,14,0.3371619949168673
JavaScript Frameworks,4,653,JavaScript & web design,14,0.3090768824130394
JavaScript Frameworks,5,560,ออกแบบและพัฒนาเว็บไซต์ด้วย JQuery,14,0.18276758033822313
Software Engineering,1,583,เอกสารประกอบการสอนรายวิชา Advanced Software Engineering,19,0.43376370163839933
Software Engineering,2,201,Fundamental of Software Engineering & Digital Transformation,19,0.2721939342949684
Software Engineering,3,198,หลักการพื้นฐานของวิศวกรรมซอฟต์แวร์ : Fundamentals of Software Engineering,19,0.14135737607181983
Software Engineering,4,582,หลักการพื้นฐานของวิศวกรรมซอฟต์แวร์ Fundamentals of Software Engineering,19,0.11199883088721815
Software Engineering,5,616,หนังสือเผยแพร่่นวัตกรรมใหม่ : โครงการOne stop services,7,0.08142949471397164
